room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8013209,41647821,Entire home/apt,,13,10,5,3,1,45,1,56.231053,10.229463,10:11.8
8252889,28513073,Entire home/apt,,5,0,,4,2,53,2,56.196368,10.195045,19:07.4
15307537,45181276,Entire home/apt,,4,1,,4,3,72,3,56.179684,10.215076,25:34.0
12329017,10868730,Entire home/apt,,5,2,,6,4,119,7,56.191089,10.239294,25:25.1
13570443,77959819,Entire home/apt,,4,1,,2,1,30,3,56.191548,10.189963,38:03.6
13974091,79422067,Entire home/apt,,13,2,,6,3,98,2,56.23101,10.230129,03:09.2
1839663,9612088,Entire home/apt,,5,15,4.5,6,3,143,2,56.204175,10.242388,47:41.3
6833240,35798728,Entire home/apt,,5,2,,8,4,197,5,56.190843,10.232498,34:01.0
5327619,27605325,Entire home/apt,,5,0,,5,2,121,1,56.208367,10.238028,41:11.6
4919504,25338016,Entire home/apt,,5,15,4.5,2,1,57,3,56.202698,10.24777,28:29.0
1912361,5005214,Entire home/apt,,5,9,4.5,5,3,128,1,56.195489,10.212924,18:27.2
12034462,64413809,Entire home/apt,,5,3,5,6,4,227,4,56.192239,10.24559,21:59.5
15070704,95318409,Entire home/apt,,5,0,,6,3,75,5,56.208155,10.243268,17:14.0
4959695,10006191,Entire home/apt,,5,0,,4,2,136,1,56.201195,10.210929,48:46.6
10851029,56196537,Entire home/apt,,5,0,,3,1,52,1,56.197532,10.207752,02:01.5
3983474,15551563,Entire home/apt,,5,7,4.5,4,3,136,2,56.196971,10.221959,12:00.9
11157720,58023130,Entire home/apt,,5,0,,4,2,72,1,56.196386,10.209633,04:29.0
14086100,84703295,Entire home/apt,,13,12,5,5,3,91,1,56.234279,10.228625,20:48.8
4106491,21304642,Entire home/apt,,5,14,4.5,5,3,74,2,56.204009,10.247818,20:06.9
3307282,16701426,Entire home/apt,,5,4,4.5,4,2,129,2,56.207185,10.247142,22:04.0
6999241,34572372,Entire home/apt,,5,0,,2,0,40,2,56.197414,10.203261,39:29.5
12352732,66711490,Entire home/apt,,5,0,,2,1,57,1,56.209248,10.238951,21:28.7
10953623,38896099,Entire home/apt,,5,0,,2,1,53,1,56.208277,10.237623,03:19.6
5777395,29975293,Entire home/apt,,5,3,4.5,5,3,83,1,56.19613,10.219111,44:08.2
13277113,34713919,Entire home/apt,,5,2,,5,3,68,3,56.205021,10.205077,22:13.6
12865275,69545461,Entire home/apt,,5,1,,3,1,45,1,56.198187,10.235556,31:18.6
13474435,5650018,Entire home/apt,,5,1,,5,3,75,2,56.201504,10.209248,23:06.6
10757244,55627910,Entire home/apt,,5,4,5,4,2,72,3,56.204787,10.206486,54:29.6
13534329,65178349,Entire home/apt,,5,0,,6,3,112,4,56.197987,10.222908,22:17.9
12794614,69678786,Entire home/apt,,5,1,,2,1,45,1,56.202868,10.230473,08:04.2
9132844,47568184,Entire home/apt,,5,6,4.5,6,2,75,2,56.196563,10.221771,11:19.4
6720400,24177599,Entire home/apt,,4,2,,2,0,38,2,56.173128,10.183766,13:30.3
12350888,66699873,Entire home/apt,,6,6,5,2,1,32,2,56.15126,10.1476,56:39.0
803798,1990126,Entire home/apt,,24,21,5,4,3,118,4,56.153245,10.189539,35:40.9
14069035,80642472,Entire home/apt,,4,4,4,2,1,30,3,56.174137,10.211543,27:24.8
13528152,65636181,Entire home/apt,,3,0,,2,1,53,1,56.166957,10.187509,13:06.7
13817651,33053534,Entire home/apt,,24,1,,2,1,53,4,56.152601,10.209218,50:55.3
13593879,5958119,Entire home/apt,,24,8,4.5,2,1,46,1,56.163322,10.209717,20:52.6
11058413,39684525,Entire home/apt,,3,4,4.5,2,1,53,1,56.167964,10.185178,37:05.8
5473776,20524611,Entire home/apt,,5,5,4.5,6,3,129,3,56.184144,10.216664,37:20.4
15020787,54457740,Entire home/apt,,24,0,,2,1,68,2,56.163591,10.203029,59:24.8
6540706,34206431,Entire home/apt,,24,2,,2,1,48,3,56.143314,10.20628,31:55.2
15609309,100636483,Entire home/apt,,24,0,,2,1,61,1,56.147036,10.203816,56:06.5
14929589,17151639,Entire home/apt,,24,2,,2,1,61,2,56.1696,10.218317,43:28.2
12661291,68789315,Entire home/apt,,24,0,,4,1,143,1,56.174057,10.216878,24:28.9
13710162,80048995,Entire home/apt,,24,4,4.5,2,1,75,1,56.161671,10.199998,26:55.1
7786608,37824754,Entire home/apt,,24,3,5,5,2,75,1,56.162528,10.213486,00:59.2
13051977,72248880,Entire home/apt,,24,2,,2,1,68,2,56.150162,10.198378,49:48.5
13668980,79492831,Entire home/apt,,24,0,,2,1,45,1,56.17291,10.213813,29:45.1
9134350,47574018,Entire home/apt,,5,2,,5,3,91,2,56.19733,10.216463,17:26.2
10516698,54221735,Entire home/apt,,24,4,4.5,3,1,60,1,56.163917,10.203325,25:54.6
15067470,95286216,Entire home/apt,,24,5,4.5,3,2,56,2,56.147944,10.195948,08:26.2
13509855,7052525,Entire home/apt,,24,0,,4,2,61,6,56.167711,10.219614,32:08.3
14189557,55932147,Entire home/apt,,24,1,,4,2,113,2,56.152047,10.19992,15:07.2
